2D signal (scaled to L and XS), Muon channel, low edge of bin values given for x and y axes
Mass (GeV), Disc, nEvent
122.0, 0.0356, 0.0544970324532
122.0, 0.04, 0.0584121494007
122.0, 0.0444, 0.0549315951176
122.0, 0.0489, 0.062378741766
122.0, 0.0533, 0.0684849558277
122.0, 0.0578, 0.0639769060432
122.0, 0.0622, 0.0641271839111
122.0, 0.0667, 0.0635680015732
122.0, 0.0711, 0.0676091558243
122.0, 0.0756, 0.0709253922501
122.0, 0.08, 0.0517160422279
122.0, 0.0844, 0.0386526453445
122.0, 0.0889, 0.0432408775543
122.0, 0.0933, 0.0327879350046
122.0, 0.0978, 0.0375429500214
122.0, 0.102, 0.0265364274984
122.0, 0.107, 0.0194901043747
122.0, 0.111, 0.0125494730649
122.0, 0.116, 0.0120960268418
122.0, 0.12, 0.00842450314364
122.0, 0.124, 0.00389270408087
122.0, 0.129, 0.00362405183573
122.0, 0.133, 0.0
122.0, 0.138, 0.0
122.0, 0.142, 0.0
122.0, 0.147, 0.0
122.0, 0.151, 0.0
122.0, 0.156, 0.0
122.0, 0.16, 0.0
122.0, 0.164, 0.0
122.0, 0.169, 0.0
122.0, 0.173, 0.0
122.0, 0.178, 0.0
122.0, 0.182, 0.0
122.0, 0.187, 0.0
122.0, 0.191, 0.0
122.0, 0.196, 0.0
124.0, 0.0, 0.0246367305929
124.0, 0.00444, 0.0251923438656
124.0, 0.00889, 0.0307968259541
124.0, 0.0133, 0.0447890158497
124.0, 0.0178, 0.0601954734226
124.0, 0.0222, 0.0673110400478
124.0, 0.0267, 0.0814688700134
124.0, 0.0311, 0.0708187110485
124.0, 0.0356, 0.0992718583717
124.0, 0.04, 0.0835550670509
124.0, 0.0444, 0.084557713134
124.0, 0.0489, 0.107769359805
124.0, 0.0533, 0.0860890443352
124.0, 0.0578, 0.084830216153
124.0, 0.0622, 0.0762262061779
124.0, 0.0667, 0.0770099692795
124.0, 0.0711, 0.0735409741333
124.0, 0.0756, 0.0720144365208
124.0, 0.08, 0.0601400313671
124.0, 0.0844, 0.0522029799599
124.0, 0.0889, 0.0521558846554
124.0, 0.0933, 0.0461493499752
124.0, 0.0978, 0.0422127959175
124.0, 0.102, 0.0360694372234
124.0, 0.107, 0.0345200380552
124.0, 0.111, 0.0243857373831
124.0, 0.116, 0.022546589636
124.0, 0.12, 0.0229276344959
124.0, 0.124, 0.0135957033192
124.0, 0.129, 0.00962305308466
124.0, 0.133, 0.00587505290499
124.0, 0.138, 0.00568899578238
124.0, 0.142, 0.00269817189412
124.0, 0.147, 0.0
124.0, 0.151, 0.000542548010316
124.0, 0.156, 0.0
124.0, 0.16, 0.0
124.0, 0.164, 0.0
124.0, 0.169, 0.0
124.0, 0.173, 0.0
124.0, 0.178, 0.0
124.0, 0.182, 0.0
124.0, 0.187, 0.0
124.0, 0.191, 0.0
124.0, 0.196, 0.0
126.0, 0.0, 0.0188597417892
126.0, 0.00444, 0.0233213108027
126.0, 0.00889, 0.0285951852167
126.0, 0.0133, 0.0261959282198
126.0, 0.0178, 0.045468928466
126.0, 0.0222, 0.0360877619087
126.0, 0.0267, 0.0555280038742
126.0, 0.0311, 0.0565870598179
126.0, 0.0356, 0.0495940409454
126.0, 0.04, 0.0567099665218
126.0, 0.0444, 0.0572152380264
126.0, 0.0489, 0.0552473585701
126.0, 0.0533, 0.042145144978
126.0, 0.0578, 0.0405785774925
126.0, 0.0622, 0.0353748553171
126.0, 0.0667, 0.0368206198252
126.0, 0.0711, 0.0323096484507
126.0, 0.0756, 0.0248857745615
126.0, 0.08, 0.0208084003181
126.0, 0.0844, 0.0170207155857
126.0, 0.0889, 0.0206706493923
126.0, 0.0933, 0.0192514881653
126.0, 0.0978, 0.00988432979164
126.0, 0.102, 0.0130189448682
126.0, 0.107, 0.01236107708
126.0, 0.111, 0.0116323050731
126.0, 0.116, 0.00903977558031
126.0, 0.12, 0.00800776081538
126.0, 0.124, 0.0116828331323
126.0, 0.129, 0.00395288832457
126.0, 0.133, 0.00200519092714
126.0, 0.138, 0.00413033999004
126.0, 0.142, 0.00259878984001
126.0, 0.147, 0.000610989160752
126.0, 0.151, 0.00120800762324
126.0, 0.156, 0.00060479803372
126.0, 0.16, 0.0
126.0, 0.164, 0.000609482218921
126.0, 0.169, 0.0
126.0, 0.173, 0.0
126.0, 0.178, 0.0
126.0, 0.182, 0.0
126.0, 0.187, 0.0
126.0, 0.191, 0.0
126.0, 0.196, 0.0
128.0, 0.0, 0.00565808735895
128.0, 0.00444, 0.00517017614231
128.0, 0.00889, 0.011319268968
128.0, 0.0133, 0.0147315770887
128.0, 0.0178, 0.0208240351414
128.0, 0.0222, 0.0160682851834
128.0, 0.0267, 0.0203671107267
128.0, 0.0311, 0.0220902286385
128.0, 0.0356, 0.0150859312016
128.0, 0.04, 0.0139016035655
128.0, 0.0444, 0.0153665412922
128.0, 0.0489, 0.0147523621799
128.0, 0.0533, 0.0155138055604
128.0, 0.0578, 0.012928967392
128.0, 0.0622, 0.00880907958341
128.0, 0.0667, 0.0109797431741
128.0, 0.0711, 0.00879299209547
128.0, 0.0756, 0.00583134435039
128.0, 0.08, 0.0052774065619
128.0, 0.0844, 0.00287802518158
128.0, 0.0889, 0.00464554484398
128.0, 0.0933, 0.00159653408796
128.0, 0.0978, 0.00301570937202
128.0, 0.102, 0.00334953426003
128.0, 0.107, 0.000947611397398
128.0, 0.111, 0.00221706257529
128.0, 0.116, 0.000693811254591
128.0, 0.12, 8.81647851445e-05
128.0, 0.124, 0.00119460914543
128.0, 0.129, 0.00109635875309
128.0, 0.133, 0.000300253793651
128.0, 0.138, 0.00253645416102
128.0, 0.142, 0.000910600448817
128.0, 0.147, 0.000256364663032
128.0, 0.151, 0.000656909141487
128.0, 0.156, 0.0
128.0, 0.16, 0.0
128.0, 0.164, 0.0
128.0, 0.169, 0.000626708042169
128.0, 0.173, 0.0
128.0, 0.178, 0.0
128.0, 0.182, 0.0
128.0, 0.187, 0.0
128.0, 0.191, 0.0
128.0, 0.196, 0.0
130.0, 0.0, 0.0037408115006
130.0, 0.00444, 0.00369394735613
130.0, 0.00889, 0.00655285668311
130.0, 0.0133, 0.00441017935786
130.0, 0.0178, 0.00539992080498
130.0, 0.0222, 0.00788967439423
130.0, 0.0267, 0.00881023424759
130.0, 0.0311, 0.0053315496912
130.0, 0.0356, 0.00393075858631
130.0, 0.04, 0.0059881895483
130.0, 0.0444, 0.00259524519703
130.0, 0.0489, 0.00576640371947
130.0, 0.0533, 0.000562086285713
130.0, 0.0578, 0.00100089988778
130.0, 0.0622, 0.00141712679167
130.0, 0.0667, 0.00100338620691
130.0, 0.0711, 0.000262769485292
130.0, 0.0756, 0.00287253300123
130.0, 0.08, 0.000684965763044
130.0, 0.0844, 0.00083332775737
130.0, 0.0889, 0.00103622690376
130.0, 0.0933, 0.000614298525989
130.0, 0.0978, 0.000673996808285
130.0, 0.102, 0.0
130.0, 0.107, 0.0
130.0, 0.111, 0.000623422673273
130.0, 0.116, 0.000632676244611
130.0, 0.12, 0.0
130.0, 0.124, 0.0
130.0, 0.129, 0.0
130.0, 0.133, 0.00108711277822
130.0, 0.138, 1.01295542686e-05
130.0, 0.142, 0.0
130.0, 0.147, 0.0
130.0, 0.151, 0.0
130.0, 0.156, 0.0
130.0, 0.16, 0.0
130.0, 0.164, 0.0
130.0, 0.169, 0.0
130.0, 0.173, 0.0
130.0, 0.178, 0.0
130.0, 0.182, 0.0
130.0, 0.187, 0.0
130.0, 0.191, 0.0
130.0, 0.196, 0.0
132.0, 0.0, 0.0
132.0, 0.00444, 0.00125069867618
132.0, 0.00889, 0.000962329106021
132.0, 0.0133, 0.00202762054867
132.0, 0.0178, 0.00285645857639
132.0, 0.0222, 0.0015691169192
132.0, 0.0267, 0.00108577416576
132.0, 0.0311, 0.00210157201869
132.0, 0.0356, 0.00188326977706
132.0, 0.04, 0.00206141620051
132.0, 0.0444, 0.000419449584121
132.0, 0.0489, 0.00171858089935
132.0, 0.0533, 0.00206122934142
132.0, 0.0578, 0.00165685961189
132.0, 0.0622, 0.000614874083203
132.0, 0.0667, 0.00102076282373
132.0, 0.0711, 0.0
132.0, 0.0756, 1.00525341611e-06
132.0, 0.08, 0.0
132.0, 0.0844, 0.0
132.0, 0.0889, 0.0
132.0, 0.0933, 2.48929404689e-05
132.0, 0.0978, 0.0
132.0, 0.102, 0.0
132.0, 0.107, 0.000676784075612
132.0, 0.111, 0.000369810489973
132.0, 0.116, 0.0
132.0, 0.12, 0.0
132.0, 0.124, 0.0
132.0, 0.129, 0.0
132.0, 0.133, 0.0
132.0, 0.138, 0.0
132.0, 0.142, 0.0
132.0, 0.147, 0.0
132.0, 0.151, 0.0
132.0, 0.156, 0.0
132.0, 0.16, 0.0
132.0, 0.164, 0.0
132.0, 0.169, 0.0
132.0, 0.173, 0.0
132.0, 0.178, 0.0
132.0, 0.182, 0.0
132.0, 0.187, 0.0
132.0, 0.191, 0.0
132.0, 0.196, 0.0
134.0, 0.0, 1.98352315061e-06
134.0, 0.00444, 0.00139033579962
134.0, 0.00889, 0.0
134.0, 0.0133, 5.79632154837e-05
134.0, 0.0178, 0.000515507044551
134.0, 0.0222, 0.000749879060847
134.0, 0.0267, 0.000677961174244
134.0, 0.0311, 0.0
134.0, 0.0356, 0.000124173407262
134.0, 0.04, 0.0
134.0, 0.0444, 0.0
134.0, 0.0489, 0.0
134.0, 0.0533, 0.0
134.0, 0.0578, 0.0
